trip_id,route_id,route_long_name,route_color,stop_id,service_id,duration_minutes
1890,11,North Jersey Coast Line,03A3DF,16,16,99.0
1891,11,North Jersey Coast Line,03A3DF,21,13,132.0
1892,11,North Jersey Coast Line,03A3DF,14,1,94.0
1893,11,North Jersey Coast Line,03A3DF,15,1,96.0
1894,11,North Jersey Coast Line,03A3DF,15,1,96.0
1895,11,North Jersey Coast Line,03A3DF,16,1,100.0
1896,11,North Jersey Coast Line,03A3DF,16,1,100.0
1897,11,North Jersey Coast Line,03A3DF,17,1,101.0
1898,11,North Jersey Coast Line,03A3DF,17,1,101.0
1899,11,North Jersey Coast Line,03A3DF,17,1,101.0
1900,11,North Jersey Coast Line,03A3DF,17,1,102.0
1901,11,North Jersey Coast Line,03A3DF,18,1,104.0
1902,11,North Jersey Coast Line,03A3DF,18,1,104.0
1903,11,North Jersey Coast Line,03A3DF,17,1,99.0
1904,11,North Jersey Coast Line,03A3DF,17,1,99.0
1905,11,North Jersey Coast Line,03A3DF,17,1,100.0
1906,11,North Jersey Coast Line,03A3DF,18,1,103.0
1907,11,North Jersey Coast Line,03A3DF,18,1,102.0
1908,11,North Jersey Coast Line,03A3DF,18,1,102.0
1909,11,North Jersey Coast Line,03A3DF,18,1,102.0
1910,11,North Jersey Coast Line,03A3DF,17,1,107.0
1911,11,North Jersey Coast Line,03A3DF,7,1,42.0
1912,11,North Jersey Coast Line,03A3DF,8,1,49.0
1913,11,North Jersey Coast Line,03A3DF,8,1,50.0
1914,11,North Jersey Coast Line,03A3DF,8,1,43.0
1915,11,North Jersey Coast Line,03A3DF,8,1,43.0
1916,11,North Jersey Coast Line,03A3DF,8,1,46.0
1917,11,North Jersey Coast Line,03A3DF,8,1,46.0
1918,11,North Jersey Coast Line,03A3DF,21,15,132.0
1919,11,North Jersey Coast Line,03A3DF,12,17,94.0
1920,11,North Jersey Coast Line,03A3DF,19,17,125.0
1921,11,North Jersey Coast Line,03A3DF,10,2,66.0
1922,11,North Jersey Coast Line,03A3DF,10,2,63.0
1923,11,North Jersey Coast Line,03A3DF,12,2,73.0
1924,11,North Jersey Coast Line,03A3DF,12,2,69.0
1925,11,North Jersey Coast Line,03A3DF,12,2,66.0
1926,11,North Jersey Coast Line,03A3DF,12,2,68.0
1927,11,North Jersey Coast Line,03A3DF,11,2,64.0
1928,11,North Jersey Coast Line,03A3DF,12,2,88.0
1929,11,North Jersey Coast Line,03A3DF,13,2,90.0
1930,11,North Jersey Coast Line,03A3DF,13,2,89.0
1931,11,North Jersey Coast Line,03A3DF,13,2,89.0
1932,11,North Jersey Coast Line,03A3DF,13,2,90.0
1933,11,North Jersey Coast Line,03A3DF,13,2,94.0
1934,11,North Jersey Coast Line,03A3DF,12,2,91.0
1935,11,North Jersey Coast Line,03A3DF,14,2,95.0
1936,11,North Jersey Coast Line,03A3DF,14,2,98.0
1937,11,North Jersey Coast Line,03A3DF,15,2,95.0
1938,11,North Jersey Coast Line,03A3DF,16,2,102.0
1939,11,North Jersey Coast Line,03A3DF,16,2,99.0
1940,11,North Jersey Coast Line,03A3DF,16,2,101.0
1941,11,North Jersey Coast Line,03A3DF,16,2,98.0
1942,11,North Jersey Coast Line,03A3DF,17,2,101.0
1943,11,North Jersey Coast Line,03A3DF,17,2,101.0
1944,11,North Jersey Coast Line,03A3DF,17,2,101.0
1945,11,North Jersey Coast Line,03A3DF,17,2,100.0
1946,11,North Jersey Coast Line,03A3DF,17,2,102.0
1947,11,North Jersey Coast Line,03A3DF,17,2,100.0
1948,11,North Jersey Coast Line,03A3DF,18,2,102.0
1949,11,North Jersey Coast Line,03A3DF,18,2,104.0
1950,11,North Jersey Coast Line,03A3DF,18,2,104.0
1951,11,North Jersey Coast Line,03A3DF,17,2,107.0
1952,11,North Jersey Coast Line,03A3DF,20,2,126.0
1953,11,North Jersey Coast Line,03A3DF,9,2,63.0
1954,11,North Jersey Coast Line,03A3DF,9,2,59.0
1955,11,North Jersey Coast Line,03A3DF,16,22,81.0
1956,11,North Jersey Coast Line,03A3DF,18,5,101.0
1957,11,North Jersey Coast Line,03A3DF,17,7,99.0
1958,11,North Jersey Coast Line,03A3DF,18,7,101.0
1959,11,North Jersey Coast Line,03A3DF,13,13,95.0
1960,11,North Jersey Coast Line,03A3DF,17,3,99.0
1961,11,North Jersey Coast Line,03A3DF,18,3,101.0
1962,11,North Jersey Coast Line,03A3DF,14,1,91.0
1963,11,North Jersey Coast Line,03A3DF,17,1,98.0
1964,11,North Jersey Coast Line,03A3DF,17,1,97.0
1965,11,North Jersey Coast Line,03A3DF,17,1,98.0
1966,11,North Jersey Coast Line,03A3DF,17,1,97.0
1967,11,North Jersey Coast Line,03A3DF,17,1,97.0
1968,11,North Jersey Coast Line,03A3DF,17,1,97.0
1969,11,North Jersey Coast Line,03A3DF,17,1,99.0
1970,11,North Jersey Coast Line,03A3DF,18,1,99.0
1971,11,North Jersey Coast Line,03A3DF,18,1,100.0
1972,11,North Jersey Coast Line,03A3DF,18,1,99.0
1973,11,North Jersey Coast Line,03A3DF,15,1,93.0
1974,11,North Jersey Coast Line,03A3DF,16,1,94.0
1975,11,North Jersey Coast Line,03A3DF,16,1,94.0
1976,11,North Jersey Coast Line,03A3DF,17,1,97.0
1977,11,North Jersey Coast Line,03A3DF,17,1,97.0
1978,11,North Jersey Coast Line,03A3DF,17,1,97.0
1979,11,North Jersey Coast Line,03A3DF,18,1,97.0
1980,11,North Jersey Coast Line,03A3DF,7,1,37.0
1981,11,North Jersey Coast Line,03A3DF,7,1,37.0
1982,11,North Jersey Coast Line,03A3DF,7,1,37.0
1983,11,North Jersey Coast Line,03A3DF,8,1,39.0
1984,11,North Jersey Coast Line,03A3DF,8,1,39.0
1985,11,North Jersey Coast Line,03A3DF,8,1,39.0
1986,11,North Jersey Coast Line,03A3DF,8,1,41.0
1987,11,North Jersey Coast Line,03A3DF,20,15,129.0
1988,11,North Jersey Coast Line,03A3DF,10,2,87.0
1989,11,North Jersey Coast Line,03A3DF,11,2,86.0
1990,11,North Jersey Coast Line,03A3DF,11,2,91.0
1991,11,North Jersey Coast Line,03A3DF,11,2,60.0
1992,11,North Jersey Coast Line,03A3DF,12,2,87.0
1993,11,North Jersey Coast Line,03A3DF,12,2,63.0
1994,11,North Jersey Coast Line,03A3DF,12,2,62.0
1995,11,North Jersey Coast Line,03A3DF,12,2,72.0
1996,11,North Jersey Coast Line,03A3DF,12,2,65.0
1997,11,North Jersey Coast Line,03A3DF,14,2,95.0
1998,11,North Jersey Coast Line,03A3DF,14,2,94.0
1999,11,North Jersey Coast Line,03A3DF,15,2,99.0
2000,11,North Jersey Coast Line,03A3DF,15,2,96.0
2001,11,North Jersey Coast Line,03A3DF,15,2,95.0
2002,11,North Jersey Coast Line,03A3DF,16,2,95.0
2003,11,North Jersey Coast Line,03A3DF,17,2,94.0
2004,11,North Jersey Coast Line,03A3DF,17,2,99.0
2005,11,North Jersey Coast Line,03A3DF,17,2,96.0
2006,11,North Jersey Coast Line,03A3DF,17,2,99.0
2007,11,North Jersey Coast Line,03A3DF,17,2,100.0
2008,11,North Jersey Coast Line,03A3DF,17,2,100.0
2009,11,North Jersey Coast Line,03A3DF,17,2,96.0
2010,11,North Jersey Coast Line,03A3DF,17,2,96.0
2011,11,North Jersey Coast Line,03A3DF,18,2,100.0
2012,11,North Jersey Coast Line,03A3DF,18,2,99.0
2013,11,North Jersey Coast Line,03A3DF,18,2,98.0
2014,11,North Jersey Coast Line,03A3DF,18,2,101.0
2015,11,North Jersey Coast Line,03A3DF,18,2,106.0
2016,11,North Jersey Coast Line,03A3DF,18,2,98.0
2017,11,North Jersey Coast Line,03A3DF,18,2,102.0
2018,11,North Jersey Coast Line,03A3DF,20,2,126.0
2019,11,North Jersey Coast Line,03A3DF,21,2,128.0
2020,11,North Jersey Coast Line,03A3DF,6,2,47.0
2021,11,North Jersey Coast Line,03A3DF,6,2,48.0
2022,11,North Jersey Coast Line,03A3DF,18,11,98.0
2023,11,North Jersey Coast Line,03A3DF,18,5,99.0
2024,11,North Jersey Coast Line,03A3DF,18,5,100.0
2025,11,North Jersey Coast Line,03A3DF,18,5,98.0
